"cp=1252",""
"15956","Because of the heroic efforts of our warriors, our nation is at a safe state. I raise National Points for people for money. "
"15957","You need to pay 1,500,000 coins for 500 National Points, 350,000 coins for 100 National Points. "
"15958","You've received 500 National Points. "
"15959","Come visit me whenver your National Point falls below 100. "
"15960","You've received 100 National Points. "
"15961","You don't have enough coins. You need to pay 1,500,000 coins for 500 National Points, 350,000 coins for 100 National Points. "
"17000","I'm the royal guard in charge of guarding the Luferson Castle. What can I do for you? "
"17001","I'm the royal guard in charge of guarding the El Morad Castle. What can I do for you? "
"17003","This is a letter from my fiance back home.. Thank you so much for delivering this letter. "
"17004","Please go visit the Love Agent in Moradon. "
"17005","You are the person that delivered the letter from my fiance. "
"17008","Please give me the letter. "
"17013","Thank you for delivering the telegram. "
"17014","Please deliver the telegram in a hurry. "
"17018","Please deliver the telegram to [Warrior Master Skaky] in Luferson Castle. "
"17019","Please deliver the telegram to [Secret Agent Clarence] in Bellua Village. "
"17020","Please deliver the telegram to [Arch Mage Drake]in Linate Village. "
"17021","Pleaes deliver the telegram to [Priest Minerva] in Moradon. "
"17022","Please deliver this telegram. It contains warning message of the da"
"17023","Please deliver the telegram to [Warrior Master Skaky] in El Morad Castle. "
"17024","Please deliver the telegram to [Secret Agent Clarence] in Asga Village. "
"17025","Please deliver the telegram to [Arch Mage Drake]in Raiba Village. "
"17026","Pleaes deliver the telegram to [Priest Minerva] in Moradon. "
"17029","Goto the main castle and pick up the telegram from the royal guard. "
"17030","You're the person that delivered the telegram last time.  "
"17032","Pleaes give me the telegram. "
"17047","What kind of training weapon do you need? "
"17070","This is the palace where the King stays. In the center of the palace there's a stone monument called Kuglin, which you must defend during a war. It is said that the blood of a Karus hero named Kuglin is sealed in the monument. The monument is believed to bring victory to the Karus wariors. "
"17071","This is the palace where the King stays. In the center of the palace there's  tower called the Tower of Piana Knights. This tower was created to honor the Piana Knights that defeated Patoz. This tower has to be protected during a war to ensure the safety of the town. "
"17072","The monsters around this area are ideal for users with level 20~35 to hunt. "
"17073","My name is [Warrior Master Skaky]. Only a warrior can learn skills from me. Why are you here? You're not a warrior. "
"17074","Hello. I'm Priest Minerva. I deliver divine messages from the Holy Mother to the priests. You're not a priest. What brings you here? "
"17080","This is Bellua Village. There's a bell named Bellua in this village, which must be protected during a war. Nobody can actually make the bell to ring. There's a legend that it only rings in the presence of a true warrior. "
"17081","This is Asga Village. There's a tree called Asga in the village which must be protected during a war. There's a legend that the fruits bore by old Asga trees make good medicine which can even bring back people from the dead. "
"17082","The monsters around this area are ideal for users with level 35~45 to hunt. "
"17083","My name is Clarence, the agent for the Rogue Guild. I'll tell the secrets of the seniors to rogues only. You're not a rogue. What can I do for you? "
"17090","This is Linate Village. There's a monument of a scroll that was from Arch Mage Linate. This has to be protected during a war. Arch Mage Linate was a famous magician from the era of six kingdoms. "
"17091","This is Raiba Village. There's a protective magic crystal called Raiba in this village which must be protected during a war. The crystal is believed to be created by a magician to bring happiness to the town.  "
"17092","The monsters around this area are ideal for users with level 45 or above to hunt. "
"17093","Hey! You're interrupting my training session. Only a magician can learn about the 4 elements from me!! You're not even a magician. What do you want from me? "
"17500","You're the person that defeated the Cardinals last time. "
"17501","You're the person that delivered the Asga Fruits last time. "
"17502","Have you brought back the fruit of the Asga tree? If you give me the fruit, I'll reward you with some coins. "
"17503","We, the rogues, have been offering the precious fruit of Asga to the King for a long time. However, this year we were unable to offer any Asga Fruits to the King because the Cardinals(Scolars) nearby have stolen all of them. Please help us by retrieving Asga Fruits from the Cardinals. "
"17504","The Cardinals are in the Scolar region(1350,1210). The Asga Fruit is only effective when it's bundled in fives. Please make sure you bring five."
"17506","Thanks for your help. I can now send in our specialties to the palace. "
"17507","The Asga Fruit is only effective when it's bundled in fives. Please get me the Asga Fruits from the Cardinals(1350,1210). "
"17510","You've defeated the Cardinals? Please give me the Cardinal Jewels. The ringing sound of the Bellua Bell can now be heard throughout the village. I'll give you some coins as a token of our gratitude. "
"17511","You need at least 5 Cardinal Jewels. "
"17512","Thank to you we can all hear the beautiful sounds of the bell. Thank you. "
"17513","The sound of the Bellua Bell is beautiful in itself but its sound is also holy enough to revive a dying plant. We're waiting for a true warrior who will enable us to ring the bell again. Please fight against the Cardinals(Scolars) in front of the village and prove that you're a true warrior to the Bellua Bell. When you've proved yourself, the bell will ring. "
"17514","The Cardinals are in the Scolar region(667,616). Bring back 5 Cardinal Jewels that they carry as a prove that you've defeated the Cardinals(Scolars). "
"17515","The Piana Knights Tower in the El Morad Castle was created to honor the Piana Knights that have defeated Patoz. There are endless parade of visitors from all over the continent to commemorate them. "
"17516","In the center of Luferson Castle, there's a tomb that is believed to have Karus Hero Kuglin's blood sealed. It is said that the tomb gives courage and brings victory to Karus warriors. "
"17520","With the return of the Karus King, it seemed like the El Moradians were planning something hostile. We've sent out a spy to find out what they're up to.. However, the regular reports from the spy has stopped for some time now.. Can you go and find out if there's anything wrong? And give him my regards while you're at it..."
"17521","With the return of the El Morad King, it seemed like the Karus were planning something hostile. We've sent out a spy to find out what they're up to.. However, the regular reports from the spy has stopped for some time now.. Can you go and find out if there's anything wrong? And give him my regards while you're at it..."
"17525","You can carry out this mission when you're level 30 or above. Please come back again when you've gained more experience. "
"17526","You can carry out this mission when you're level 30~50. "
"17527","The Dark Lunar secret scroll that you brought to me was a big help. "
"17528","Thanks to the Dark Lunar secret scroll that you retrieved, we can now tell what the enemies are up to. "
"17529","You brought the Dark Lunar secret scroll? How are things there? Oh, nevermind. The information about the current situation should be in the scroll. Please give me the Dark Lunar secret scroll. "
"17530","The gate to Dark Lunar War opens every Thursday from 8PM to 10PM when the two blue moons rise from the red sky. Goto through the gate to enemy territory and bring back the secret scroll from the spy. "
"17531","You should be able to find the Dark Lunar spy near the Karus Keeper in Dark Lunar War zone. Do be careful. "
"17532","You should be able to find the Dark Lunar spy near the El Morad Keeper in Dark Lunar War zone. Do be careful. "
"17533","Thanks for the valuable information. "
"17534","As I told you before, go make contact with the spy and retrieve the Dark Lunar secret scroll when the gate to Dark Lunar War opens on Thursday from 8PM to 10PM."
"17535","You have to level 40 or above in order to proceed with this mission. Please come back when you've gained more experience. "
"17537","Thanks to the Lunar secret scroll that you retrieved, we can now tell what the enemies are up to. "
"17538","You brought the Lunar secret scroll? How are things there? Oh, nevermind. The information about the current situation should be in the scroll. Please give me the Lunar secret scroll. "
"17539","The gate to Lunar War opens every Tuesday from 8PM to 10PM when the two blue moons rise from the red sky. Goto through the gate to enemy territory and bring back the secret scroll from the spy. "
"17542","As I told you before, go make contact with the spy and retrieve the Lunar secret scroll when the gate to Lunar War opens on Thursday from 8PM to 10PM."
"17543","You should be able to find the Lunar spy near the Karus Keeper in Lunar War zone. Do be careful. "
"17544","You should be able to find the Lunar spy near the El Morad Keeper in Lunar War zone. Do be careful. "
"17550","There are many guests that visit the palace, from people that are just passing through to Knights. Our role is to cook and study dishes that are both nutritious and delicious so that we can serve them to our guests. We have many guests today and we're shorthanded. Also, the pig that we were going to kill for the BBQ ran away.. If you catch and bring back the pig for us, we'll give you a nice BBQ dish."
"17551","Did the Lunar Gate guard enjoy the BBQ dish? "
"17553","Did you bring the Tyon Meat? Thank you. We can now prepare for the feast. "
"17556","We can start the feast in time thanks to your effort. "
"17557","You can get Tyon Meat by visiting the Tyon farm. "
"17560","This is the BBQ dish that I've made with the meat you brought. How does it look? Looks delicious, doesn't it? He's stationed far from the palace and I'm always worried if he's getting by with enough food|He'll give you a present as a token of his appreciation if you deliver the food. "
"17561","You should be able to find the guuard in front of the Lunar Gate(1886,215). Please deliver this to him. "
"17563","You should be able to find the guuard in front of the Lunar Gate(146,1832). Please deliver this to him. "
"17571","How is she doing? I hope she doesn't get sick while I'm away. "
"17572","You should be able to find her near the Eslant entrace(El Morad:710,187/Karus:1335,1844). "
"17573","Thanks for bringing me the delicious dish.. I have a favor to ask you.|Because I was stationed to this post on a sudden order I did not have a chance to give this ring that I've prepared for my fiancee. She should be waiting for my return near the Eslant entrance. Please help me."
"17574","I'm hungry.. I can smell BBQ on you.. |Did you bring it for me? "
"17575","Please visit the Royal Chef first. "
"17580","Thank you.  "
"17581","Didn't the Royal Chef give you some food? "
"17591","You're the person that delived the ring last time. I'm ever grateful for your service. "
"17592","I can smell his scent on you.. You've met him? Is he well? He isn't skipping meals, is he? Oh.. The ring..|I was supposed to meet him on the day that he received his sudden orders.. I guess he was planning to give me this ring on that day."
"17595","My beloved fiancee should be stationed in front of the Lunar Gate(El Morad:146,1832/Karus:1886,215). Please go visit him for me. "
"17597","Thank you for delivering this precious ring. "
"17598","You don't have the ring that he was going to give me."
"17600","My farm is in a mess because of the stampede by Tyons. I'll give you a reward if you catch them for me. "
"17605","You can get Tyon Meat by hunting the Tyons in front of the farm. "
"17610","The sand that we've brought in from the desert for palace construction contained a lot of scorpions. Because of the sudden increase in scorpion population people are exposed to danger of running into them. If you bring me the poison that these scorpions carry, I shall give you a big reward. "
"17615","You can get Pincer Poison from the Pincers in scorpion region. "
"17621","Did you deliver the instrument to him? "
"17623","The resting place for the warriors that have deceased honorably.. This place is more meaningful because of the warrior musician without a name. His music filled the air around the cemetary to ease the spirits. However, the music stopped because he lost his instrument some time ago. I've found the instrument. Please deliver this to the Nameless Warrior so that he can start playing his soul-touching music again. "
"17625","The Nameless Warrior should be near the cemetary entrance.(El Morad:1104,718/Karus:954,1353)"
"17631","During the time the music stopped, the Undying monsters have occupied the cemetary area, thus disturbing the spirits of dead warriors. If you exterminate these Undying monsters, I'll give you a reward. "
"17632","Oh.. You brought the instrument. Please handed to me."
"17633","Visit the Royal Guard first. "
"17636","You can collect Undying Bones by hunting the Undying monsters in the cemetary. "
"17638","I can finally play music again."
"17639","The Royal Guard has the instrument. "
"17641","I've finalized the magic with the El Morad Symbol you got for me."
"17642","I've finalized a magic with the Karus Symbol you got for me."
"17643","You have to be level 50 or above to proceed with this mission. Please come back when you've gained more experience. "
"17644","I've learned an important fact while studying ancient magic. In order to finalize this magic, I'll need the El Morad Symbol that are carried by the Liches in El Morad. Do you think you can fetch this symbol for me? "
"17645","I've learned an important fact while studying ancient magic. In order to finalize this magic, I'll need the Karus Symbol that are carried by the Liches in Karus. Do you think you can fetch this symbol for me? "
"17646","Did you successfully penetrate into enemy territory? You're braver than you look.. Then you brought the El Morad Symbol? "
"17647","Did you successfully penetrate into enemy territory? You're braver than you look.. Then you brought the Karus Symbol? "
"17648","I can now finalize the ancient magic thanks to you. "
"17649","The El Morad Symbols can be earned by hunting Liches near Kalluga Valley in El Morad|How do you goto the enemy's nation? Oh my… Haven't you ever been in a Lunar War?  "
"17650","The Karus Symbols can be earned by hunting Liches near Kalluga Valley in Karus|How do you goto the enemy's nation? Oh my… Haven't you ever been in a Lunar War?  "
"17651","Every Tuesday and Friday, from 8PM till 10PM, if your nation wins the War, you get to invade into the enemy nation's territory. If you successfully invade into enemy territory, hunt Liches near Kalluga Valley and bring back the symbol they drop. "
"17661","You're the one that brought Abyss Blessing. "
"17662","Did you bring the Abyss Blessing? If you give it to the offering keeper, he'll boost your abilities. "
"17665","Thank you for bringing the Abyss Blessing. "
"17666","You can get the Abyss Blessing from the Fallen Angel. You can find Fallen Angel on the 19th floor in the Abyss Dungeon. "
"17668","I'm the servant of God. I manage sacrificial offering items and praise him daily. However, I'm faced with a problem. I've lost the Abyss Blessing a while ago. It was stolen by the Fallen Angel that lives deep within the Abyss dungeon. The passage is full of dangerous monsters but if you go bring the Abyss Blessing, then you'll receive a great reward. "
"17682","This is not Karus Nation's monument. "
"17683","This is not El Morad Nation's monument. "
"17684","The middle monument has not been overtaken. "
"17685","Would you like to teleport to the middle monument? "
"17700","You need to be level 15 or above. Please come back when you've gained more experience. "
"20501","There are many opinions for zignon, the ruler of the Orcs. The liberator for the Descendents of Darkness! The bringer of disaster! He is respected and the hated at the same time. The endless war would have never started if he didn't create a new nation. What do you think about Zignon? "
"20502","However, without Zignon, there would have been no present nor future for the orcs. "
"20503","I couldn't understand how Zignon managed to lead the weakened orcs across Iskanz mountain range to establish Karus! The Gods must have favored him because he couldn't have done this alone. We are curious if a God is helping him. Would you like to help me to find out more about this? "
"20504","That's too bad. This could have been a good chance to find out the truth. "
"20505","There's a person that's going around Moradon digging old graves. I, as a follower of the Goddess of Life, do not really like this person that hangs around death. I heard this person has recently discovered the [Zignon's WIll]. Go and get the Will of [Zignon's Will] from this guy. "
"20506","I heard the person that's going around digging old graves has found many relics. You can find many historical evidence from these relics. "
"20507","I'm a follower of the Goddess of Life. May the blessings of the Goddess be with you."
"20508","Huh?  Looks like I've seen this from somewhere before.. Oh yeah!! You brought me a scroll that opens the box with the mark of Akara before, right? "
"20509","What do you need from me? "
"20510","Hey, it's good to see you! What can I do for you? "
"20511","Zignon's will? Of course I have it! By the way you're acting, it must be pretty important for you. What can you give me in return for the Zignon's Will? "
"20512","You still haven't found Zinon's Will. "
"20513","Haha, I'm just kidding! This sheepskin isn't that valuable. It's not first rate quality!! I'll just give it to you for free. "
"20514","You brought the Zignon's Will. Give it to me. I'll bless you with the Goddess' blessing. "
"20515","I won't force you. But come back if you ever change your mind. "
"20516","May the blessings of the Goddess be with you. "
"20517","Hey!! I already gave you a sheepskin just a while ago!! Check your bag!!"
"20601","Hey adventurer!! I'm the supplier for the sacrificial offerings at the temple. I don't know why but there aren't any useful items in the market. Would you like to help me collect items for the sacrificial offering? I'll reward you handsomely. "
"20602","Hey! We meet again!! Were the items that I gave you last time useful? Why don't you help me collect items for the sacrificial offering again? "
"20603","Oh, that's too bad. I could have guarantee you that you'd be satisfied with the reward I was going to give you. "
"20604","I already gave you the reward!!"
"20605","Good. I need three things, [a Bulture Horn], [Fang of Wolf Man], and [an Orc Talisman] for the offerings. I'll be waiting for you nearby from here. "
"20606","[A Bulture Horn], [Fang of Wolf Man], and [an Orc Talisman].. Bring me these three things if you want to be rewarded.. "
"20607","Oh, you brought all three items I've asked for. Here.. Give them to me and I shall give you the reward. "
"20608","Come back again if you ever change your mind!!"
"20609","Thank you for collecting the items for the sacrificial offering!! This is the reward I was telling you about. "
"20701","Geez.. The monsters are getting stronger.. Eh? When did this one get so close? Could it be hearing my mumbling? "
"20702","Can you help me? "
"20703","Gee.. I didn't know that being a Moradon guard was going to be this tough. "
"20704","I don't think I was destined to become a guard..  *Sniff*"
"20705","You'll help me?  Thank you!! Thank you so much!! Becoming a guard at Moradon is a lot more harder than becoming a guard at El Morad or Karus. You also receive so much more salary!  The best guards from El Morad and Karus comes to Moradon. I came here to find a job as a guard.. But I heard that they're not hiring right now. I didn't even have a chance to meet the Captain. However, a vendor in Moradon told me that he'll introduce me to the Captain if I bring him some Bulture Horns. I'll repay you if you bring me [3 Bulture Horns]."
"20708","Thank you so much~~!! I'll wait for you here!! Don't take too long!! "
"20709","I'm a Guard Trainee. I'm preparing to become a guard at Moradon. Come visit me after you become a little more stronger.. That is.. If you still remember me then… I might need your help later on. "
"20710","Hey!! You promised me 3 Bulture Horns. "
"20711","Is this the Bulture Horn? Good job! Here.. Give them to me!!"
"20712","Fine.. There are plenty of people that are willing to get the Bulture Horns for me!!"
"20713","Thank you. I'll give you some potions and raise your experience points as a reward. I've been saving these for my hunting trips!! "
"20714","Hey!! The 3 Bulture Horns you brought me were of great use. I have no job for you right now but I'll see you around!"
"20801","Hey, you're the person that got me 5 Fangs of Wolf Man last time. I'll reward you with more experience points anytime if you bring me 5 Fangs of Wolf Man. "
"20802","Bring me Fangs of Wolf Man whenever you want to gain more experience points. "
"20803","Huh? What are you doing here!?? You are suppose to get me 5 Fangs of Wolf Man!!"
"20804","You brough 5 Fangs of Wolf Man! Give me those and I'll reward you with experience points. Of course, might be able to keep that fang as a sourvenir."
"20805","Hey, I like your attitude!! Get me 5 Fangs of Wolf Man. "
"20806","Okay then.. Be on your way."
"20807","Moradon is being protected by a strong group of guards that are operated by Cartel the vendor. Thanks to him and his guards, the vendors can trade in safety. However the Wolf Men have been sneaking into the city in the darkness of the night. In order to exterminate the Wolf Man, Cartel is paying any warriors that brings him 5 Fangs of Wolf Man. I'll give you money and experience points in place of Cartel. "
"20808","Good!! Come back if you ever want to earn some experience points. "
"20809","I'm Guard Patrick. I guard the east gate of Moradon! Our mission is to keep the monsters from invading Moradon. "
"20901","Hehehe.. I'm Nashira the relic searcher! I'll tell you a secret. While digging a grave, I found a wooden box. On the box, there was a mark of Akara, the Goddess of Life. I need to get a magic scroll from the temple in order to open a box with such markings. As you can imagine, the priests in the temple do not want to have anything to do with me because I hang around with the dead. ||Can you do me a favor and visit Priest Veronica for me? Can you ask her for a scroll that would open this box? I'll reward you with presents and money as reward. "
"20902","Ask Veronica in Temple of Life about the scroll that would open this box. I'll give you an handsome amount of coins. What do you say? It's a tough deal to resist, eh? "
"20903","Hey!! You still haven't met Veronica? "
"20904","Hehe.. You're not foolish. Here.. I'll draw the markings of the box on your hand. Show it to Veronica and she'll give you a scroll. "
"20905","Why are you still here? Go and ask for the scroll!!"
"20906","Who are you? Stop following me!"
"20907","I'm a priest that servers the Goddess of Life. May the Goddess of Life be with you. By the look on your face, I guss you have a question for me. "
"20908","You're useless!! Get out of here!!"
"20909","Yes, the symbol on your hand is the mark of Akara. Here's the scroll for opening the box. I hope you'd use this scroll for the good. "
"20910","How did it go? Did you get the scroll from Minerva? "
"20911","You idiot! You didn't ask for the scroll yet?  Go ask right now!!"
"20912","Good! I finally opened the box! Like you, I keep my word. Here's the present and the money for your service!"
"20913","Do me a favor..  Please go ask her once more.. "
"20914","You're the one that helped me to open that box with Akara's symbol on it. How have you been? "
"20915","You already have the Scroll of Seal. "
"21001","I'm Captain Kunarl, the defender of Moradon. What do you need? "
"21110","You need to be at least level 10 in order to choose your specialty. "
"21115","My warrior friend, you've already chose your specialty. "
"21116","My rogue friend, you've already chose your specialty. "
"21117","My magician friend, you've already chose your specialty. "
"21118","My priest friend, you've already chose your specialty. "
"21120","You qualify to choose a specialty. If you want to choose your specialty, pay me 3,000 coins. "
"21121","Come visit me anytime if you want to choose your specialty. "
"21123","You need 3,000 coins in order to choose a specialty!! If you can't come up with that much money, then you're not good enough to choose a specialty. "
"21125","I don't allow just anybody to choose a specialty. You need to prove your bravery in order to choose your specialty. "
"21126","Fight the orc prisoner in the arena in Moradon and bring me the Certificate of Duel.  Prove your bravery and I'll let you choose your specialty!!"
"21127","Your level is too low to fight the orc!! Come back when you reach level 10. "
"21128","Fight 5 orcs in the arena in Moradon and bring 5 Certificate of Duel as proof. If you prove your bravery, I'll reward you with experience points and 30,000 coins. "
"21133","You've already beaten the orc. You can only do this once. "
"21140","Where's the Certificate of Duel? You need to bring me [5 Certificate of Duel] as a proof that you've fought the orcs in the arena. "
"21145","Okay, that proves your bravery. I'll give you the experience points and money as promised. "
"21146","You'll now be able to perform stronger attacks and magics!!"
"21151","Which mission would you like try? "
"21181","Do you want to hear about the Bandicoot extermination? Or did you bring me the Teeth of Bandicoot? "
"21183","There are rich farmlands in front of Moradon. This farmlands were ruined after the Bandicoots started appearing because they multiplied like roaches and ate up all the crops. We've hunted them down but it seems like they're multiplying faster than we can catch them. But we can't stop now. We must keep trying. Go and hunt Bandicoots and bring [5 Tooth of Bandicoot]. I'll reward you with experience points. "
"21187","Bring me [5 Tooth of Bandicoots] if you want to win experience points. "
"21189","You brougn 5 Tooth of Bandicoots as promised. I'll give you the experience points as promised. "
"21213","I'm sorry but you need to be in between level 20~23 to do this mission. Come back after you training a little more. "
"21215","I'm sorry but you lost your chance. This mission is for people in between level 20~23 only. "
"21218","You've already completed the Gem of Bravery quest. "
"21220","Would you like to hear about the Gem of Bravery? Or would you like to fight the Blood Don? "
"21225","We'll let loose an evil monster called Blood Don in the arena. Fight the Blood Don and kill it. As a proof, bring [10 Gem of Bravery]. We'll give you the mysterious powers of the Dragons to you. "
"21240","Where are the Gems of Bravery? Bring 10 Gem of Bravery after beating the Blood Don in the arena."
"21246","I, Kunabarl, a proud warrior of the Dragons, grant you the experience points as promised. "
"21263","I'm sorry but you must be level 40 in order to enter the battlefield. Come back after more training. "
"21265","I'm sorry but you lost your chance. You need to be level 40 to enter the battlefield. "
"21268","You've already completed the Battlefield Quest. "
"21270","Would you like to hear about the Battlefield Quest? Or would you like to enter the battlefield?"
"21275","We've let loose a great number of Goblins to test the level 40 people. These Goblins are hungry for battle. They'll be attacking you from all directions. Fight them!! You'll gain experience points everytime you kill a goblin until you level up."
"21281","Would you like to hear about the Silver Cross? Or did you already complete the quest? "
"21283","I increase levels for Level 50~53 people that brings me the Silver Cross."
"21284","Ask the captain in your own nation about the Silver Cross. "
"21287","I'm sorry but you need to be in between level 50~53 in order to do the Silver Cross quest. Come back after you level up. "
"21288","I'm sorry but you lost your chance. People at level 50~53 are only allowed to do this quest. "
"21289","You've already completed the Silver Cross quest. "
"21290","Where's the Silver Cross? You'll need to bring that to complete this quest. "
"21291","Oh~ You've received the Silver Cross from your captain. Good!! I'll now increase your level. "
"22000","I'm Priest Athian of the Forgotten Temple!! Do you want to get out from this place? "
"22001","I'm the Judge of the Quest!! Would you like to get out of here? "
"22002","I'm Barrel, the battle field manager!! Do you want to exit from here? "
"22003","Snowman Poroom, Teeti, Theo & Nunu are paying a visit to the world of Knight Online this X-Mas~|You can hunt various monsters to collect items to turn into one of the snowman. Try collecting the following items to change into one of the snowman!|*** Requirements for Transformation ***|Snowman Poroom: Large Snow (5)+ Small Snow (5) + Poroom`s Glove(5)+Poroom`s Hat(5)+Poroom`s Muffler(5)|Snowman Teeti: Large Snow (5)+ Small Snow (5) + Teeti`s Glove(5)+Teeti`s Hat(5)+Teeti`s Muffler(5)|Snowman Theo: Large Snow (5)+ Small Snow (5) + Theo`s Glove(5)+Theo`s Hat(5)+Theo`s Muffler(5)|Snowman Nunu: Large Snow (5)+ Small Snow (5) + Nunu`s Glove(5)+Nunu`s Hat(5)+Nunu`s Muffler(5)"
"22012","Need more Large Snow"
"22013","Need more Small Snow"
"22014","Need more Poroom`s Muffler"
"22015","Need more Poroom`s Glove"
"22016","Need more Poroom`s Hat"
"22017","Have a wonderful X-Mas!"
"22020","Come see me if you ever want to get out of here. "
"22024","Need more Teeti`s Muffler"
"22025","Need more Teeti`s Glove"
"22026","Need more Teeti`s Hat"
"22034","Need more Theo`s Muffler"
"22035","Need more Theo`s Glove"
"22036","Need more Theo`s Hat"
"22044","Need more Nunu`s Muffler"
"22045","Need more Nunu`s Glove"
"22046","Need more Nunu`s Hat"
"22050","Snowmans affected by Patos` curse are attacking people out in the battlefield instead of delievering presents.|Please collect 5 snowman item by hunting these cursed snowmans in the battlefield.|I`ll give you candy cane in return as a token of my gratitude. "
"22056","Snowman requires 5 people."
"30001","Hello, this is the Knight Online Special Store. In order to access the Special Store, you must access the [Power-up Store] and enter the [Special Store]. Press the button on the item you want to buy from the menu below. "
"30060","You need to buy the [Scroll of Identity] in order to change your ID. You can buy the [Scroll of Identity] from the [Power-up Store]. "
"30065","You can change your ID only once with the [Scroll of Identity]. Once you change your ID, the old ID cannot be used again in anticipation of fraud. Please select your new ID carefully. "
"30075","Thank you for using the [Special Store]. Have a nice day. "
"30102","You need a [Redistribution Item] in order to redistribute your points. You can get the [Redistribution Item] by purchasing the Ultra Premium service from the [Power-up Store]. "
"30110","You can redistribute your points only once with the [Redistribution Item]. Please redistribute your points carefully. "
"30121","Redistributed Skill Points. "
"30122","Redistributed Stat Points. "
"30131","You can receive help from high leveled users by joining the Beginner Helper event. When you reach level 30 through the Beginner Helper event, you'll be awarded with 500,000 coins.|| Users with level 35 or above can help out beginners by inviting them into their party. They'll earn manner points for this. You can check the manner points in your stat window. "
"30134","Come back again when you need help. ^^"
"30135","You have to level 1~20 in order to sign up for the Beginner Helper event. "
"30137","You've already signed up for the Beginner Helper Event. Please come back when you reach level 30. "
"30138","You have successfully signed up for the Beginner Helper Event. "
"30139","You have not reached level 30 yet. "
"30141","You've completed the quest. "
"30142","Congratulations! You've reached level 30. "
"31001","I am Galowin, the advisor for Clan Matches. What would you like to know about?"
"31011","Clan Match.. Blah.. Blah.. Blah.. "
"31101","The winner of the clan battle is ******* clan. "
"31131","The silver trophy winner of the clan battle is ******* clan. "
"31161","The bronze trophy winner of the clan battle is ******* clan. "
"35001","Young adventurer!! There are many dangers lurking in this land. It's your obligation to fight through these dangers. If you complete a mission that I give, then I'll give you a reward. Please select the mission you want to complete. "
"35002","You need to be level 10 or above in order to do that mission. Come back after a little more training. "
"35003","From what I recall, you've already completed that mission. Do you want to repeat the mission? "
"35004","You want to exterminate Worms? The Worms are too weak to be called a monster but they multiply very rapily so it's very difficult to get them to disappear. Do you want to do this mission?  "
"35005","I'll give you a reasonable reward if you hunt worms and bring back 10 Silk Bundles as a proof. "
"35006","You don't have enough Silk Bundles. You need to have 10 Silk Bundles in order to complete this mission. "
"35007","You have 10 Silk Bundles. Will give them to me to complete the mission? "
"35008","I gave you 500 experience points. This is the reward that I promised you. "
"35009","That's too bad. Come back if you ever change your mind. "
"35010","From what I recall, you've already completed that mission. Do you want to repeat the mission? "
"35011","The guards in El Morad and Karus are troubled by the Gavolts that are living near the villages. The Gavolt Wings happen to be a very valuable item for the vendors in Moradon. "
"35012","For [5 Gavolt Wings] I'll give you a small amount of experience points and some Water of Grace.  "
"35013","You don't have enough Gavolt Wings. I require 5. "
"35014","You brought the Gavolt Wings. Will you give them to me to complete your mission? "
"35015","The reward is 700 experience points and 5 Water of Grace. "
"35016","That's too bad. Come back if you ever change your mind. "
"35017","From what I recall, you've already completed that mission. Do you want to repeat the mission? "
"35018","You're not interested in the Silan Quest? The Bulcans feed on the minerals in the earth. Most of the Bulcans store the metals that were in the earth in their stomach, but in some rare cases, the metals get stuck on the scales and bones.  These type of Bulcans are called the Silans. The Silan Bones are used by the blacksmiths to make weapons. "
"35019","Bring me [10 Silan Bones]. I'll repay you with a reasonable reward. "
"35020","There's not enough Silan Bones. You need 10 Silan Bones in order to get the reward. "
"35021","You brought 10 Silan Bones as promised. Will you use them to complete your mission? "
"35022","I gave you 1,000 experience points and 50,000 coins as promised. I hope it was a good present for you. "
"35023","That's too bad. Come back if you ever change your mind. "
"35024","From what I recall, you've already completed that mission. Do you want to repeat the mission? "
"35025","You know what a Bulture Horn is, right? The Blacksmiths use them to make bows. You'll be receive a reasonable reward if you get [5 Bulture Horns]. "
"35026","I'll give you a present if you bring me [5 Bulture Horns]. "
"35027","You need [5 Bulture Horns] to complete this mission. "
"35028","You brough 5 Bulture Horns. Will you use them to complete your mission? "
"35029","I gave you 3,000 experience points as promised. "
"35030","That's too bad. Come back if you ever change your mind. "
"35031","From what I recall, you've already completed that mission. Do you want to repeat the mission? "
"35032","Did you hear about the Wolf Man? They come to loot the village every full moon. The vendors in Moradon are offering rewards for those that hunt down Wolf Man."
"35033","I'll give you a reward if you bring me [10 Fangs of Wolf Man]. "
"35034","You need [10 Fangs of Wolf Man] in order to complete the mission. "
"35035","You brought [10 Fangs of Wolf Man]. Will you use them to complete the mission? "
"35036","I gave you 5,000 experience points and 10 Water of Favors for your service. "
"35037","That's too bad. Come back if you ever change your mind. "
"35201","I'm Miracel, the storage keeper of Delos!! The Delos storage has disappeared to another dimension, but I can retrieve the items that are in Delos storage with the help from magic. I need different kinds of items for retrieving different kind of items. What did you bring? "
"35203","I am Marselis, the keeper of the warehouse here in Delos. If you bring me items that I need, then I will give you items from the warehouse as a reward. But since the warehouse of Delos is deep and dark, even I don't know what items will come out."
"35222","You can do this rabbit event only once. The chances for getting a present should be available to everybody. "
"35223","I'm Adelia from the Heavens! The rabbits of Heaven have escaped through a broken fence to earth. If you get the rabbits back to me, I shall reward you with a present. "
"35224","Thank you for offering your help. Get me [10 Rabbits] and I'll give you a present. It has to be 10. "
